NO ,NO. PENAWARAN ,DATE,MARKERTING ,CUSTOMER NAME,REMARK (KAROSERI),HARGA ,HARGA (NEW),EXC / INC ,PROGRESS,QUANTITY,SATUAN,KETERANGAN,TOTAL
1152,197/QUO/STM/VI/25,21-Jun-25,EKO ARYO,PT. BORNEO AUTO CEMERLANG,ARM ROLL 6 TON DAN CONTAINER ISUZU NMR 81 T HD UK. P. 3.800 X L. 1.900 X T. 1.000," 150,000,000 ","150,000,000", INC ,,,,TIDAK JADI OC,0
1153,201/QUO/STM/VI/25,23-Jun-25,EKO ARYO,KOPERASI PEKERJA PERTAMINA PATRA CILACAP,ARMROLL HYVA 26 TON HINO FLX 280 JW," 982,350,000 ","982,350,000", INC ,,,,TIDAK JADI OC,0
1154,228/QUO/STM/VI/25,26-Jun-25,EKO ARYO,PT. DONGHAE GLOBAL JAYA,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 390,000,000 ","390,000,000", INC ,OC 30/MKT/VII/25 (3 UNIT),3,UNIT,JADI OC,"1,170,000,000"
1155,228/R.01QUO/STM/VI/25,26-Jun-25,EKO ARYO,PT. DONGHAE GLOBAL JAYA,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 390,000,000 ","390,000,000", INC ,,,,TIDAK JADI OC,0
1156,228/R.01QUO/STM/VI/25,26-Jun-25,EKO ARYO,PT. KJU BJI,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 330,000,000 ","330,000,000", INC ,,,,TIDAK JADI OC,0
1157,229/QUO/STM/VI/25,26-Jun-25,EKO ARYO,PT. CLM LINNGAU,BODY DUMP TRUCK 32M3 HINO FM 280 JD UK. P. 6.500 X L. 2.500 X T. 2.000," 185,000,000 ","185,000,000", INC ,,,,TIDAK JADI OC,0
1158,233/QUO/STM/VI/25,26-Jun-25,EKO ARYO,PT. SALAWATI MOTORINDO,FUEL TANK KAP. 5.000 LITER SYSTEM DISPENSING MANUAL ISUZU NMR 81 65," 180,000,000 ","180,000,000", INC ,,,,TIDAK JADI OC,0
1159,248/QUO/STM/VI/25,30-Jun-25,EKO ARYO,PT. SARANA BAJA PERKASA,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 272,000,000 ","272,000,000", INC ,OC 28/MKT/VII/25 (2 UNIT),2,UNIT,JADI OC,"544,000,000"
1160,251/QUO/STM/VI/25,30-Jun-25,EKO ARYO,PT. KJIU BJI ,FLAT BED HINO FL 280 JW UK. P. 9.750 X L. 2.500," 90,000,000 ","90,000,000", INC ,,,,TIDAK JADI OC,0
1161,251/QUO/STM/VI/25,30-Jun-25,EKO ARYO,PT. DONGHAE GLOBAL JAYA,FLAT BED HINO FL 280 JW UK. P. 9.750 X L. 2.500," 180,000,000 ","180,000,000", INC ,,,,TIDAK JADI OC,0
1162,261/QUO/STM/VI/25,14-Jun-25,EKO ARYO,PT. JAKARTA ANUGERAH MANDIRI ,BODY DUMP TRUCK SCOW END TELESCOPIC QUESTER CGE 370 WB 56 UK. P. 7.184 X L. 2.500 X T. 1.620, 290.000.000 EXCLUDE  ,"290,000,000", EXC ,,,,TIDAK JADI OC,0
1163,29/QUO/STM/VI/25,04-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,BODY DUMP TRUCK 28 M3 HINO FM 280 JD UK. P. 6.500 X L. 2.400 X T. 1.800," 163,500,000 ","163,500,000", INC ,,,,TIDAK JADI OC,0
1164,50/QUO/STM/VI/25,05-Jun-25,FAJAR,PT. ANUGERAH MULYA PERKASA ULU BELU,MIXER KAP. 3 M3 MITSUBISHI FE 75 SHDX ," 195,000,000 ","195,000,000", INC ,,,,TIDAK JADI OC,0
1165,67/QUO/STM/VI/25,09-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,FLAT BED MITSUBISHI FM 65 FSL UK. P. 8.380 X L. 2.500," 81,500,000 ","81,500,000", INC ,,,,TIDAK JADI OC,0
1166,67/QUO/STM/VI/25,09-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,BAK BESI 7 WAY MITSUBISHI FM 65 FSL UK.P. 8.380 X L. 2.500 X T. 850," 92,500,000 ","92,500,000", INC ,,,,TIDAK JADI OC,0
1167,83/QUO/STM/VI/25,11-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,BODY DUMP TRUCK SCOW END HINO FM 280 JD UK. P. 6.000 X L. 2.400 X T. 1.700," 192,755,000 ","192,755,000", INC ,,,,TIDAK JADI OC,0
1168,83/QUO/STM/VI/25,11-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,BODY DUMP TRUCK SCOW END HINO FM 280 JD UK. 6.400 X L. 2.400 X T. 1.700," 206,050,000 ","206,050,000", INC ,,,,TIDAK JADI OC,0
1169,84/QUO/STM/VI/25,10-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,BAK BESI 7 WAY WITH SPACE CRANE MITSUBISHI FN 62 FL HDR ," 127,000,000 ","127,000,000", INC ,,,,TIDAK JADI OC,0
1170,84/QUO/STM/VI/25,10-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,INSTALL CRANE," 30,000,000 ","30,000,000", INC ,,,,TIDAK JADI OC,0
1171,86/QUO/STM/VI/25,10-Jun-25,FAJAR,PT. DIPO CIKUPA,BODY DUMP TRUCK MITSUBISHI FE 74 HD UK. P. 3.880 X L. 1.840 X T. 1.200," 80,000,000 ","80,000,000", INC ,,,,TIDAK JADI OC,0
1172,127/QUO/STM/VI/25,13-Jun-25,FAJAR,PT. DIPO PEKANBARU ,DUMP TRUCK KNOCKDOWN MITSUBISHI FE 84 SHDX UK. P. 3.880 X L. 1.975 X T. 700 + 700," 67,000,000 ","67,000,000", INC ,OC 25/MKT/VI/25 (1 UNIT),1,UNIT,JADI OC,"67,000,000"
1173,130/QUO/STM/VI/25,13-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,COMPACTOR KAP. 6 M3 HINO DUTRO 136 HDX ," 460,000,000 ","460,000,000", INC ,,,,TIDAK JADI OC,0
1174,130/QUO/STM/VI/25,13-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,ARM ROLL 3 TON HINO DUTRO 136 HDX," 77,700,000 ","77,700,000", INC ,,,,TIDAK JADI OC,0
1175,130/QUO/STM/VI/25,13-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,CONTAINER TERBUKA KAP. 5 M3," 33,300,000 ","33,300,000", INC ,,,,TIDAK JADI OC,0
1176,133/QUO/STM/VI/25,13-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,WATER SPRAYER KAP. 20.000 LITER SYSTEM HYDRAULIC HINO FM 280 JD," 387,500,000 ","387,500,000", INC ,,,,TIDAK JADI OC,0
1177,133/QUO/STM/VI/25,13-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,WATER SPRAYER KAP. 20.000 LITER SYSTEM MANUAL HINO FM 280 JD," 315,000,000 ","315,000,000", INC ,,,,TIDAK JADI OC,0
1178,144/QUO/STM/VI/25,17-Jun-25,FAJAR,PT. TRANSINDO PERKASA PRIMA,TANGKI HI BLOW KAP. 35 TON HINO FM 280 JW," 320,000,000 ","320,000,000", INC ,,,,TIDAK JADI OC,0
1179,154/QUO/STM/VI/25,17-Jun-25,FAJAR,PT. INDOMOBIL PRIMA NIAGA - MEDAN,BODY OPEN CARGO HINO FM 280 JW UK.P. 9.600 x L. 2.400 x T. 1.400 + 100 (Pipa) ," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
1180,154/R.01QUO/STM/VI/25,20-Jun-25,FAJAR,PT. INDOMOBIL PRIMA NIAGA - MEDAN,BODY OPEN CARGO HINO FM 280 JW UK.P. 9.600 x L. 2.400 x T. 1.400 + 100 (Pipa) ," 107,000,000 ","107,000,000", INC ,,,,TIDAK JADI OC,0
1181,157/QUO/STM/VI/25,17-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,WATER SPRAYER KAP. 16.000 LITER SYSTEM HYDRAULIC HINO FM 280 JD ," 490,000,000 ","490,000,000", INC ,,,,TIDAK JADI OC,0
1182,169/QUO/STM/VI/25,18-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,"VACUM TANK KAP. 3,000 LITER MITSUBISHI FE 74 HD"," 141,500,000 ","141,500,000", INC ,,,,TIDAK JADI OC,0
1183,170/QUO/STM/VI/25,18-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,MOTOR CARIER KAP. 52 MOTOR MATIC HINO FG 260 JJ SYSTEM MANUAL," 150,000,000 ","150,000,000", INC ,,,,TIDAK JADI OC,0
1184,170/QUO/STM/VI/25,18-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,MOTOR CARIER KAP. 52 MOTOR MATIC HINO FG 260 JJ SYSTEM HYDRAULIC," 220,000,000 ","220,000,000", INC ,,,,TIDAK JADI OC,0
1185,185/QUO/STM/VI/25,19-Jun-25,FAJAR,PT. SUMATERA KALIMANTAN JAYA,BODY DUMP TRUCK MITSUBISHI FE 84 SHDX P. 4.000 x L. 1.975 x T. 1.100 mm," 66,000,000 ","66,000,000", INC ,OC 23/MKT/VII/25 (10 UNIT),10,UNIT,JADI OC,"660,000,000"
1186,186/QUO/STM/VI/25,18-Jun-25,FAJAR,CV. BIMA PRIMA,BODY DUMP TRUCK HINO FL 260 JN P. 6.750 x L. 2.400 x T. 2.000 mm," 183,000,000 ","183,000,000", INC ,OC 01/MKT/VII/25 (5 UNIT),5,UNIT,JADI OC,"915,000,000"
1187,193/QUO/STM/VI/25,21-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,VACUM TANK KAP. 8.000 LITER HINO FG 260 JJ," 310,000,000 ","310,000,000", INC ,OC 24/MKT/VI/25 (5 UNIT),5,UNIT,JADI OC,"1,550,000,000"
1188,200/QUO/STM/VI/25,23-Jun-25,FAJAR,PT. INTITRANS,FLAT BED QUESTER CWE 280 WB61 UK. P. 8.300 X L. 2.500," 100,000,000 ","100,000,000", INC ,,,,TIDAK JADI OC,0
1189,200/QUO/STM/VI/25,23-Jun-25,FAJAR,PT. INTITRANS,INSTALL CRANE," 30,000,000 ","30,000,000", INC ,,,,TIDAK JADI OC,0
1190,223/QUO/STM/VI/25,25-Jun-25,FAJAR,PT. INDOMOBIL PRIMA NIAGA,BODY DUMP TRUCK HINO FM 280 JD UK. P. 6.500 X L. 2.500 X T. 2.000," 170,000,000 ","170,000,000", INC ,,,,TIDAK JADI OC,0
1191,223/QUO/STM/VI/25 R.01,25-Jun-25,FAJAR,PT. INDOMOBIL PRIMA NIAGA,BODY DUMP TRUCK HINO FM 280 JD UK. P. 6.500 X L. 2.500 X T. 2.000," 166,500,000 ","166,500,000", INC ,,,,TIDAK JADI OC,0
1192,225/QUO/STM/VI/25,25-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,ARM ROLL HYVA 26 TON HINO FLX 280 JW," 1,100,000,000 ","1,100,000,000", INC ,,,,TIDAK JADI OC,0
1193,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI STAINLESS 20.000 LITER HINO FL 260 JN," 345,000,000 ","345,000,000", INC ,,,,TIDAK JADI OC,0
1194,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI 20.000 LITER HINO FL 260 JN," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
1195,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI STAINLESS 16.000 LITER HINO FL 260 JN," 335,000,000 ","335,000,000", INC ,,,,TIDAK JADI OC,0
1196,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI 16.000 LITER HINO FL 260 JN," 155,000,000 ","155,000,000", INC ,,,,TIDAK JADI OC,0
1197,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI STAINLESS 12.000 LITER HINO FG 260 JJ," 304,000,000 ","304,000,000", INC ,,,,TIDAK JADI OC,0
1198,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI 12.000 LITER HINO FG 260 JJ," 154,000,000 ","154,000,000", INC ,,,,TIDAK JADI OC,0
1199,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI STAINLESS 10.000 LITER HINO FG 260 JJ," 299,000,000 ","299,000,000", INC ,,,,TIDAK JADI OC,0
1200,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,TANGKI 10.000 LITER HINO FG 260 JJ," 151,000,000 ","151,000,000", INC ,,,,TIDAK JADI OC,0
1201,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,FLATBED UK. 9750 X 2500 HINO FL 280 JW," 115,000,000 ","115,000,000", INC ,,,,TIDAK JADI OC,0
1202,231/QUO/STM/VI/25,26-Jun-25,FAJAR,PT. DAYAGUNA MOTOR INDONESIA,FLATBED UK. 6500 X 2500 HINO FG 260 JL," 99,000,000 ","99,000,000", INC ,,,,TIDAK JADI OC,0
1203,247/QUO/STM/VI/25,30-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,TANGKI LIMBAH B3 STAINLESS KAP. 16 KL HINO FL 260 JN," 270,000,000 ","270,000,000", INC ,,,,TIDAK JADI OC,0
1204,249/QUO/STM/VI/25,30-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,ARM ROLL HYVA 8 TON ," 460,000,000 ","460,000,000", INC ,,,,TIDAK JADI OC,0
1205,249/QUO/STM/VI/25,30-Jun-25,FAJAR,CUSTOMER BAPAK FAJAR,CONTAINER UK 3600 X 1900 X 1200 MM," 42,200,000 ","42,200,000", INC ,,,,TIDAK JADI OC,0
1206,253/QUO/STM/VI/25,30-Jun-25,FAJAR,PT. HUDAYA MAJU MANDIRI,HIBLOW 35 TON (30M3) HINO FM 280 JW (TANPA HORI)," 291,500,000 ","291,500,000", INC ,,,,TIDAK JADI OC,0
1207,253/QUO/STM/VI/25,30-Jun-25,FAJAR,PT. HUDAYA MAJU MANDIRI,PENAMBAHAN SESUAI PERMINTAAN," 80,000,000 ","80,000,000", INC ,,,,TIDAK JADI OC,0
1208,254/QUO/STM/VI/25,30-Jun-25,FAJAR,PT. HUDAYA MAJU MANDIRI,TRAILER HIBLOW KAP. 50 M3," 880,000,000 ","880,000,000", INC ,,,,TIDAK JADI OC,0
1209,254/QUO/STM/VI/25,30-Jun-25,FAJAR,PT. HUDAYA MAJU MANDIRI,PENAMBAHAN SESUAI PERMINTAAN," 80,000,000 ","80,000,000", INC ,,,,TIDAK JADI OC,0
1210,06/QUO/STM/VI/25,03-Jun-25,IRWAN,PT. DATA INDUSTRI GUDANG INDONESIA,FLAT BED WITH CRANE XCMG KSQS68TL-4 HINO DUTRO 136 HDL," 286,000,000 ","286,000,000", INC ,,,,TIDAK JADI OC,0
1211,06/QUO/STM/VI/25,03-Jun-25,IRWAN,PT. DATA INDUSTRI GUDANG INDONESIA,CRANE XCMG KSQS68TL-4 HINO DUTRO 136 HDL," 91,500,000 ","91,500,000", INC ,,,,TIDAK JADI OC,0
1212,06/QUO/STM/VI/25,03-Jun-25,IRWAN,PT. DATA INDUSTRI GUDANG INDONESIA,BAK BESI 5 WAY WITH CRANE XCMG KSQS68TL-4 HINO DUTRO 136 HDL," 286,000,000 ","286,000,000", INC ,,,,TIDAK JADI OC,0
1213,06/QUO/STM/VI/25,03-Jun-25,IRWAN,PT. DATA INDUSTRI GUDANG INDONESIA,CRANE XCMG KSQS68TL-4 HINO DUTRO 136 HDL," 103,500,000 ","103,500,000", INC ,,,,TIDAK JADI OC,0
1214,07/QUO/STM/VI/25,02-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,LOGGING TRUCK UK. 9895 X 2500 MERCY AXOR 2528 R," 225,000,000 ","225,000,000", INC ,,,,TIDAK JADI OC,0
1215,12/R.01QUO/STM/VI/25,03-Jun-25,IRWAN,PT. ALUN INDAH,LOGGING TRUCK MERCY AXOR 2528 CH UK. 9.000 X L. 2.500," 400,000,000 ","400,000,000", INC ,,,,TIDAK JADI OC,0
1216,15/QUO/STM/VI/25,03-Jun-25,IRWAN,IBU LITA,BAK BESI 7 PINTU + INSTALL CRANE HINO FM 280 JW UK. P. 8.550 X L. 2.500 X T.1.000," 161,000,000 ","161,000,000", INC ,,,,TIDAK JADI OC,0
1217,22/QUO/STM/VI/25,03-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN,FLAT BED + INSTALL CRANE HINO FL 260 JN UK. P. 6.750 X L. 2.500," 128,000,000 ","128,000,000", INC ,,,,TIDAK JADI OC,0
1218,22/QUO/STM/VI/25,03-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN,OPTIONAL THROTTLE GAS," 8,500,000 ","8,500,000", INC ,,,,TIDAK JADI OC,0
1219,23/QUO/STM/VI/25,03-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN,WING BOX HINO FG 260 JS UK. P. 8.490 X L. 2.500 X T. 2.750," 135,000,000 ","135,000,000", INC ,,,,TIDAK JADI OC,0
1220,27/QUO/STM/VI/25,04-Jun-25,IRWAN,PT. DUTA CEMERLANG MOTOR-SEMARANG,BOX BESI HINO FM 280 JW," 145,000,000 ","145,000,000", INC ,,,,TIDAK JADI OC,0
1221,40/QUO/STM/VI/25,05-Jun-25,IRWAN,IBU LITA,DALMAS TNI MITSUBISHI FE 84 SHDX UK. 4160 X 2135 X 1830," 175,000,000 ","175,000,000", INC ,,,,TIDAK JADI OC,0
1222,44/QUO/STM/VI/25,05-Jun-25,IRWAN,PT. HUDAYA MAJU MANDIRI,"PENAMBAHAN SPARE PART WATER TANK KAP. 20,000 L"," 6,500,000 (Excld) ","6,500,000", EXC ,OC 17/MKT/VI/25 (3 UNIT),3,UNIT,JADI OC,"19,500,000"
1223,70/QUO/STM/VI/25,10-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN,SPARE PART MOBIL ANGKUT PERSONIL LOAD SUPPORT FOR REAR SUSPENSION, 21.000.000 /SET (Excld) ,"21,000,000", EXC ,,,,TIDAK JADI OC,0
1224,98/QUO/STM/VI/25,11-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN,BODY DUMP TRUCK KNOCK DOWN SMALL STANDART UK. P. 3.880 X L. 1.840 T. 700+300," 67,500,000 ","67,500,000", INC ,,,,TIDAK JADI OC,0
1225,115/QUO/STM/VI/25,12-Jun-25,IRWAN,PT. DIPO - SERANG,BODY DUMP TRUCK MITSUBISHI FN 62 F HD UK. P. 6.500 X L. 2.400 X T. 1.800," 180,000,000 ","180,000,000", INC ,,,,TIDAK JADI OC,0
1226,132/QUO/STM/VI/25,14-Jun-25,IRWAN,PT. HARTONO RAYA MOTOR,BODY DUMP TRUCK MERCY AXOR 2528 C/CH/CX," 220,000,000 ","220,000,000", INC ,,,,TIDAK JADI OC,0
1227,136/QUO/STM/VI/25,14-Jun-25,IRWAN,PT. SCADA,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 330,000,000 ","330,000,000", INC ,,,,TIDAK JADI OC,0
1228,45/QUO/STM/VI/25,17-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,TRAILLER 45 FEET 2 AXLE - SKELETON, 632.500.000/UNIT ,"632,500,000", INC ,,,,TIDAK JADI OC,0
1229,142/QUO/STM/VI/25,17-Jun-25,IRWAN,CUSTOMER BAPAK IRWAN ,PEMADAM KEBAKARAN DOUBLE CABIN KAP. 8.000 LITER MERCY AXOR 2528 C/CH/CX," 1,500,000,000 ","1,500,000,000", INC ,,,,TIDAK JADI OC,0
1230,152/QUO/STM/VI/25,17-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,BODY DUMP TRUCK MERCY AXOR 2528 C / CH / CX," 198,000,000 ","198,000,000", INC ,,,,TIDAK JADI OC,0
1231,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,BODY DUMP TRUCK MERCY AXOR 1626 C Ukuran P. 4.930 x L. 2.340 x T. 850 mm," 130,000,000 ","130,000,000", INC ,,,,TIDAK JADI OC,0
1232,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,BODY DUMP TRUCK MERCY AXOR 2528 CX/CH P. 5.930 x L. 2.340 x T. 1.700 mm," 175,000,000 ","175,000,000", INC ,,,,TIDAK JADI OC,0
1233,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,BODY DUMP TRUCK MERCY AXOR 2528 CX/CH P. 5.930 x L. 2.340 x T. 1.000 + 700 mm," 160,500,000 ","160,500,000", INC ,,,,TIDAK JADI OC,0
1234,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,TANGKI CPO KAP. 10.000 LITER MERCY AXOR 1626 C," 139,000,000 ","139,000,000", INC ,,,,TIDAK JADI OC,0
1235,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,TANGKI CPO KAP. 20.000 LITER MERCY AXOR 2528 CH," 164,000,000 ","164,000,000", INC ,,,,TIDAK JADI OC,0
1236,"190/QUO/STM/VI/25 R,01",28-Jun-25,IRWAN,PT. DAIMIER COMERCIAL VEHICLE INDONESIA,WING BOX MERCY AXOR 2523 R57 UK. 9895 X 2500 X 2750 mm," 160,500,000 ","160,500,000", INC ,,,,TIDAK JADI OC,0
1237,202/QUO/STM/VI/25,23-Jun-25,IRWAN,PT. HUDAYA MAJU MANDIRI - SENTUL,BODY DUMP TRUCK SCOW END HINO FM 280 JD UK. P. 6.000 X L. 2.400 X T. 1.500 ," 200,000,000 ","200,000,000", INC ,,,,TIDAK JADI OC,0
1238,203/QUO/STM/VI/25,23-Jun-25,IRWAN,PT. HUDAYA MAJU MANDIRI - SENTUL,BODY DUMP TRUCK SCOW END HINO FM 280 JD UK. P. 6.000 X L. 2.400 X T. 1.500," 200,000,000 ","200,000,000", INC ,,,,TIDAK JADI OC,0
1239,206/QUO/STM/VI/25,24-Jun-25,IRWAN,PT. DAIMLER COMERCIAL VEHICLES INDONESIA,BODY DUMP TRUCK SCOW END MERCY AXOR 2528 CH UK. P. 5.700 X L. 2.400 X T. 1.400," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
1240,206/QUO/STM/VI/25,24-Jun-25,IRWAN,PT. DAIMLER COMERCIAL VEHICLES INDONESIA,BODY DUMP TRUCK SCOW END MERCY AXOR 2528 CX UK. P. 6.500 X L. 2.400 X T. 1.900," 174,500,000 ","174,500,000", INC ,,,,TIDAK JADI OC,0
1241,211/QUO/STM/VI/25,24-Jun-25,IRWAN,PT. SWADAYA BUANA MAKMUR,BODY DUMP TRUCK KUBURAN MITSUBISHI FE 75 SHDX UK. P. 4.300 X L. 2.000 X T. 1.750," 67,500,000 ","67,500,000", INC ,,,,TIDAK JADI OC,0
1242,222/QUO/STM/VI/25,25-Jun-25,IRWAN,PT. SURI MOTOR INDONESIA,BODY DUMP TRUCK SCOW END TANPA PINTU MERCY AXOR 2528 C/CH/CX UK. P. 6.000 X L. 2.400 X T. 1.600," 200,000,000 ","200,000,000", INC , 44/MKT/VII/25 (3 UNIT) ,5,UNIT,JADI OC,"1,000,000,000"
1243,210/QUO/STM/VI/25,30-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,WATER SPRAYER TANK KAP. 20.000 L (SYSTEM HYDRAULICK) MERCY AROCS 4042 K," 420,000,000 ","420,000,000", INC ,,,,TIDAK JADI OC,0
1244,244/QUO/STM/VI/25,30-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,DUMP TRUCK AERO TELESCOPIC MERCY AROCS 4042 K UK. 6200 X 2500 X 1650 MM, 220.000.000 (Excld) ,"220,000,000", EXC ,,,,TIDAK JADI OC,0
1245,156/QUO/STM/VI/25,18-Jun-25,IRWAN,PT. ALUN INDAH,DUMP TRUCK AERO TELESCOPIC MERCY AROCS 4845K UK.7370 X 2800 X 2240 MM," 362,000,000 ","362,000,000", INC ,,,,TIDAK JADI OC,0
1246,238QUO/STM/VI/25,26-Jun-25,IRWAN,PT. EUROTRUCK TRANSINDO,"DUMP TRUCK KOTAK TULANGAN LURUS, BUKA ATAS, UK. 6400 X 2400 X 1850 MERCY AXOR 2528 C CH CX"," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
1247,10/QUO/STM/VI/25,03-Jun-25,HENDY,PT. ASTRA UD TRUCK - SURABAYA,DUMP TRUCK 24 M3 QUESTER CWE 280 WB43 UK. 6.000 X L. 2.350 X T. 1.700," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
1248,30/QUO/STM/VI/25,04-Jun-25,HENDY,PT. MULTI SINTESA DINAMIKA,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. P. 12.300 X L. 2.500," 290,000,000 ","290,000,000", INC ,,,,TIDAK JADI OC,0
1249,62/QUO/STM/VI/25,09-Jun-25,HENDY,PT. MCC200 INDONESIA CONSTRUCTION,FUEL TANK KAP. 5.000 LITER SYSTEM DISPENSING MANUAL HINO DUTRO 136 HD," 20,000,000 ","20,000,000", INC ,,,,TIDAK JADI OC,0
1250,72/QUO/STM/VI/25,10-Jun-25,HENDY,PT. PRABU PENDAWA MOTOR - BOGOR,DUMP TRUCK 5 WAY MITSUBISHI FE 84 SHDX UK. P. 4.480 X L. 2.140 X T. 700," 65,000,000 ","65,000,000", INC ,,,,TIDAK JADI OC,0
1251,72/QUO/STM/VI/25,10-Jun-25,HENDY,PT. PRABU PENDAWA MOTOR - BOGOR,DUMP TRUCK 5 WAY MITSUBISHI FM 65 FS UK. P. 4.930 X L. 2.340 X T. 850," 120,000,000 ","120,000,000", INC ,,,,TIDAK JADI OC,0
1252,89/QUO/STM/VI/25,10-Jun-25,HENDY,PT. ARMINDO PERKASA - CIAWI,SELF LOADER WITH HYDRAULIC JACK HINO FM 280 JW," 285,000,000 ","285,000,000", INC ,,,,TIDAK JADI OC,0
1253,90/QUO/STM/VI/25 B,10-Jun-25,HENDY,PT. PEKANBARU BERLIAN MOTOR ,CARGO TANK KAP. 3.000 LITER MITSUBISHI FE 74 SHDX," 135,000,000 ","135,000,000", INC ,,,,TIDAK JADI OC,0
1254,91/QUO/STM/VI/25,10-Jun-25,HENDY,PT. PRABU PENDAWA MOTOR - BOGOR,DUMP TRUCK KNOCKDOWN MITSUBISHI FN 62 F HDR," 175,000,000 ","175,000,000", INC ,,,,TIDAK JADI OC,0
1255,95/QUO/STM/VI/25,11-Jun-25,HENDY,PT. DIANSARANA BERLIAN MOTOR,DUMP TRUCK MITSUBISHI FE 75 SHDX ," 50,000,000 ","50,000,000", INC ,,,,TIDAK JADI OC,0
1256,97/QUO/STM/VI/25,11-Jun-25,HENDY,PT. WILMAR INDONESIA,DUMP TRUCK HINO FG 260 JJ," 122,100,000 ","122,100,000", INC ,,,,TIDAK JADI OC,0
1257,99/QUO/STM/VI/25,11-Jun-25,HENDY,PT. ARMADA INTERNATIONAL MOTOR - YOGYAKARTA,BODY DUMP TRUCK KNOCKDOWN KAP. 24 M3 ISUZU FVZ 34 N HP," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
